"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1363676996.25015","1522053333.07289","1648312494.84986","1810691879.23301","2001077313.29379","2095077029.40842","2158735270.06149","2350707816.07183","2424518584.00218","2489125251.73263","2739560355.17403","2918431004.6486","2935908008.08406","3027097934.57584","3335072772.4076","3426476107.32249","3572025352.77738","3781902067.60171","3925194449.90938","3489041117.1281","3434454562.11007","3623931877.15193","3549697827.01878","3793907213.86807","3808447873.65561","3881688126.57655","3926948315.28477","4080273098.09896","4278670721.55422","4270959490.77484","3244149230.19381","4072498933.12607","4815134654.65196","",
"Africa Eastern and Southern","AFE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","563877091079.333","583705359880.278","585800614126.538","598795913574.265","623292901616.417","664844395534.323","714324826884.742","758189289517.03","780925622540.869","814437541216.865","861860538840.988","913741872677.836","964524632451.274","1015899018235.28","1102055369963.33","1207382493686.02","1327672386264.4","1454943038189.95","1550220012903.06","1571877181099.3","1672413928736.11","1775008949007.78","1775827061946","1895139451841.35","2027514292189.73","2101341478485.32","2216257356785.04","2303336692932.39","2400755102583.14","2523846399910.71","2511759552024.3","2788523235983.69","3095403614537.92","",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19805683002.2132","21980384805.7144","22889600503.965","26258419343.9137","28518821097.8215","33339216566.7178","35312296534.1449","43140533617.6216","49929490244.5478","51184181904.4289","60766467131.1993","67458857272.9888","72946664022.0665","77274315044.0326","76798750471.4042","83362066704.4832","89369237677.5116","97800733345.0137","100094011602.725","85767546197.7544","","",
"Africa Western and Central","AFW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","360320247527.97","377248628909.421","395729164078.797","400835953834.854","409181272542.741","426676770177.684","454871561652.694","483041821785.073","506066063495.584","521383825761.344","552560586241.025","594517964928.4","660393056464.695","710509249154.207","787176019513.042","858980104026.797","932502109521.209","1009496329520.8","1093620216183.97","1167453413974.91","1262598803278.27","1352425605233.17","1434259351245.82","1537529012956.74","1663026804949.65","1687912826051.78","1709492798614.05","1784331738807.28","1891032708555.37","2054398839839.81","2098945103853.11","2271727072236.45","2524397021729.44","",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38835439389.8242","40546779830.1018","39049622587.1717","30387804667.4003","31452407439.8341","36928723189.9361","42698219730.7192","46594068742.1501","49328898270.1625","51115326928.9188","53870124025.8162","57400615762.7073","66261666029.3691","69589731051.4179","79282432863.0497","94058409613.8841","108159616056.934","126645338871.524","143491912187.846","145653570414.479","153887405897.573","162538811659.181","185178296910.381","197839278641.871","217021998765.783","200475818990.044","199721223732.138","211424030475.15","229965233516.952","243736138717.595","215784887951.053","255820605533.992","282171520832.631","",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8378167290.72037","6236092291.13482","5919798413.17299","6639429341.98215","7344244051.42398","8497186825.01757","9440169387.08516","8554317071.30526","9451379192.7027","10792578624.9517","11927662847.3787","13161277091.3997","14497660341.6574","15199103434.5257","16429788447.5628","17663248665.0743","19650707481.8488","21636545418.3971","24251606124.016","25799463197.3653","28043877391.3624","29655430970.0085","30530313572.5231","30603939822.3485","32529299302.5043","33585628604.2049","34739803499.0979","36696822866.8877","38690796100.7993","41723422035.6227","40970517148.2494","45725177899.5695","54154421533.4169","",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1304618255.53309","1383076234.22539","1427739919.43895","1446506211.74278","1512604269.65437","1586906785.86361","1691100574.2647","1876250198.793","1957985003.9083","2066967961.59582","2188378492.29995","2419366992.33131","2568781051.41392","2847221293.49956","3161511221.76033","3436653921.47734","3713051889.34352","3872627350.2774","3727486123.42096","3552447823.57017","3524138322.31255","3597069533.21643","3482074820.51133","3417351289.23109","3568438803.34643","3655830982.98855","3829449805.79225","3915698820.58319","4152298789.83756","4395348448.44156","4031176207.5678","4649558370.59444","5415366696.29493","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1514162754787.77","1683706198574.24","1807753221400.93","1903460492952.66","2000741190632.12","2097226627694.74","2233390049653.22","2372915161844.89","2532286625542.28","2620635389523.58","2860670804277.24","2973556251920.68","3030589323916.89","3219961204792.2","3609736184928.2","3924147297738.38","4279115575708.61","4585938193506.46","4935461781827.63","4986220506369.08","5282508762793.26","5601495475667.15","6054570949345.84","6167447878375.5","6203255694684.79","5738691978775.92","5680593912159.33","6058168500498.81","6611972407916.55","6783659405357.94","6326873410930.54","7026955287022.62","7984220810660.37","",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165033215256.913","172081667406.54","181890466098.311","188550249191.676","205856964046.881","224229750647.753","241575130112.727","265868088872.749","269645579757.193","281381486599.725","318985660394.289","330735682552.056","344064047408.379","381731585963.491","429477224738.714","464450474012","525880743626.572","557291472828.082","586108939845.841","558939438350.577","574723354813.02","623132238940.3","645566759648.501","657868026080.28","687052388196.079","609998221072.948","604925118660.808","627578031207.677","701667873645.863","726238678123.863","614384479785.391","645375981370.255","745046992283.811","",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234455344931.543","264521270370.093","292023773373.283","323480141867.088","349669909411.917","346844681084.361","372715304230.914","409894951069.898","430467771287.181","421755390917.54","427907425395.381","418257187040.516","378498715336.167","420076980476.696","470302946671.598","527985868655.93","588076130259.074","658372466794.536","698223627731.022","661109513023.278","736799121185.705","797263881242.037","819219854484.205","848625298160.51","838428063163.02","865155580188.784","882649216798.351","1035699067575.93","1090043170151.08","1057633159930.82","1011999397129.76","1195003729129.62","1342539574697.75","",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9803860531.55248","8949561636.9895","5327344967.03613","4973702540.02406","5354227561.34467","5843688839.16853","6299716421.15014","6621177138.16537","7184486827.46663","7526162157.25132","8150774534.89384","9134510731.77184","10501422441.8107","12207893425.6244","13851841423.6304","16271994101.8439","18988258531.0297","22173115976.0994","24157669801.8107","20884445685.8498","21600412735.6691","23085520248.3701","27043423649.5481","28572642912.7207","29343064966.5336","29315404012.9832","31629425029.462","35949453239.3726","38233278956.681","44365671088.179","43552758696.8095","47164867556.7624","56846802803.0964","",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","815699546.389627","861639311.368432","891484654.275792","960800878.901","1046837780.53946","1022194142.26749","1109656682.70638","1190555026.10262","1260915739.67937","1326093730.551","1440264043.67489","1405733490.48641","1442310484.22933","1560148255.07288","1694418471.10789","1860686051.30946","2161853940.39075","2427106078.0258","2473301607.4566","2191384352.07707","2043837770.24482","2045440278.58455","1952648600.45812","1916216985.6644","1923838903.52097","1876640003.00599","1918292905.20981","1933329160.6749","2229888663.55951","2424227725.41686","2053379780.08534","2376444043.97534","2785837429.25261","",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296606970753.033","308266971083.155","319047690834.948","338869775496.037","359145644518.848","378798712906.686","403354058864.168","426032065769.344","453620247395.633","479437912024.365","505056094140.601","532864799310.005","565994508002.305","594024458977.883","633138917180.184","666573991108.909","712648996565.745","763412360149.174","797546165740.298","874442486513.615","867492050866.474","938849887363.241","974506449193.729","1062414874202.12","1101347411236.85","1102492313517.56","1143970717633.14","1190737658818.33","1254437048890.68","1336328929938.81","1386702982120.14","1474501352807.93","1700455865579.78","",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149404706482.955","159773121507.843","166835396785.79","171689657416.525","179568160706.732","188224858944.927","195409996114.085","202563723869.671","212779576709.256","220639956878.73","235377744475.237","238949262917.233","251984858807.042","261071387955.893","276006414191.398","288086851811.747","311412915828.518","327170721478.926","343812802543","341383077572.189","351281009003.533","373031463577.163","391635006784.26","406370494341.228","417059741085.658","430975998137.236","460282766423.271","476590426691.819","503361092130.55","537897842704.908","522624838947.364","567987424821.541","641751890596.523","",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37694530103.6164","38696484278.857","30633636929.6859","24115654422.4934","19778392232.0172","17810336856.036","18372211992.4865","19772991830.6122","21995097661.6114","23955634496.4708","27217678656.4585","30586137071.2623","33994826285.4696","38204531284.4344","42860372196.7017","56564627673.0606","78426917948.493","100683032684.431","113654290594.673","125016200872.444","132906490790.588","135803575412.212","148678132524.431","162604723251.662","167470430285.624","145466446321.068","141837623390.756","141069643128.845","151909515454.014","167158106107.001","153047750160.236","203884098954.124","228314067976.541","",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3341667975.18752","3627299688.61041","3747433157.40476","3596877422.10398","3532983821.92221","3321387280.04229","3111624748.90187","3114954587.51486","3299640117.97027","3312343716.22962","3358361145.1884","3504620319.43367","3717503265.93583","3744481925.8038","4030853197.40071","4194668945.05498","4558197311.10758","4842982765.50776","5175835828.04635","5407616902.74818","5753030235.60656","6109378663.94635","6434109700.67511","7175647231.46992","7822936123.43009","8809630118.7088","8676714933.88405","8759744160.76216","8935565006.18917","9549333185.98181","9923498550.18071","10847771568.5802","11826230308.8597","",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186143914588.878","195966424619.526","203500309947.015","206320181481.636","217526046011.997","227383463991.073","230928998259.576","241579537994.353","248634626792.289","260168701709.78","284862666666.667","296218031614.831","312900377877.018","320981343828.761","334143156430.084","347658412088.972","371910293569.293","391020785776.548","405729462246.522","407550330241.668","434005882514.638","451932718764.387","469720618339.766","487343797679.386","503619406808.679","520878052195.13","550677647305.861","573788797293.568","600269569562.906","650523760858.458","643354115322.589","719584623121.985","797595743425.037","",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6263872718.58834","6749352134.0346","7107339440.10568","7700436168.3018","8023775039.5168","8687249860.01219","9228850210.88416","9926367674.35393","10435702280.2009","11148038682.5953","12068417543.7712","12998438893.2101","13813951246.4709","14571665604.7338","15625634673.9068","16391714299.0402","17563887278.8898","19118406973.8386","20439187423.0816","21047276239.8425","21750521094.3437","22860459982.9645","24393778410.0812","26896876069.4006","29454694903.9928","30961687093.8936","33245555033.1574","34745526935.4768","36720416644.3096","40076293090.6914","42407309934.6404","46467947984.7692","52849968257.5267","",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5192367141.73112","5854833811.43012","6002195549.48274","6357151655.81814","6578285936.44934","7100150653.3534","8026534869.02473","8680713154.73274","9419919590.96393","10259110711.9939","10689665669.0506","11653376975.816","12350171718.4476","13576554041.9331","14565345348.6472","16323283254.9017","17879168698.5039","19117304116.1197","20614029336.4487","21360646876.8753","23443220212.813","25515102554.621","26992067760.1929","29071648205.4878","30284926912.3411","31763609326.839","36383537964.2514","40632395597.0095","42375183591.2275","46790489887.5201","51134807589.6146","54537370117.8728","59416596729.0067","",
