"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","1040067805.97066","1207294394.38163","1432438484.14469","1606190988.20097","1669818665.7427","1802784184.46057","1908830331.20679","2048321796.38489","2216364094.72579","2272818072.84657","2299768888.4382","2461830727.12083","2510870012.3673","2541955633.72044","2735726894.36234","2850135065.34526","2823202580.63466","2854554386.72823","3062757846.13129","3051023207.85273","3085420813.52388","3180746244.1035","3239136973.90597","2860878914.12265","2782678056.16304","2876433106.04638","2846495186.38325","3029567006.90354","2981500664.9605","2962907262.56983","3013858130.38083","3226290923.08041","3303132465.93437","3227066714.50225","2453132846.89402","3131162991.36718","3458629953.85751","",
"Africa Eastern and Southern","AFE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","236365524116.624","249423235420.693","255508431178.984","267194550690.39","282437822898.925","285965605604.295","292527253765.304","295524951511.464","299691333316.79","309159074693.535","326341885698.259","339949027330.128","341052793199.49","341434742585.044","352805531067.228","352042183627.414","359745670249.005","373786278178.317","389408362234.522","399887738927.296","400566456780.592","400117098020.441","390850131861.908","388428211091.522","396289382482.006","413271717579.933","435766040309.763","452559386361.542","460405228733.41","472519310591.11","487635349216.049","504650475908.401","523922777595.701","539295962885.764","569211182314.985","604267149655.069","644017480093.763","686821035581.246","716735658728.932","722770380849.307","760524924269.58","791329970951.716","804944619803.567","839582502509.597","873025554744.719","899255563488.782","918794908393.269","943066747586.598","968354352986.54","989537618119.001","962114164625.761","1005450673749.05","1041358511641.28","",
"Afghanistan","AFG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7228795956.44078","7867263297.8222","7978515682.69705","8874480241.02355","9349921933.98889","10642672018.0685","11060395172.9653","13426272142.8283","15354612620.8467","15420077746.4016","17386490329.926","18360263258.3072","18860496592.515","19134221744.5294","19566715275.9301","20084646855.8018","20323499125.6969","21118473812.444","20621957232.4181","16345202647.5247","","",
"Africa Western and Central","AFW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","105891214249.714","107858383722.031","111927818666.183","120073081718.246","126572577287.439","131742749751.938","129402531389.772","117045172395.973","118752758809.68","137202886942.971","161774794688.775","179250835282.128","184916098293.275","192724244710.554","212463767291.747","207837578388.332","225612671160.098","236311039802.207","231137600945.103","243186008225.803","248166276590.065","230866237292.733","223073616649.932","208437592541.027","209613321440.136","221255841207.026","224363849346.901","227633109888.094","238714357067.493","244147384877.285","260203042309.99","263090712306.183","270167691805.232","266909155707.725","266184619429.116","271326235188.779","283915131480.457","296004665915.479","306310782020.29","310661081272.224","322253240468.176","339021746527.332","372646875632.923","393275021278.206","424723469728.919","449463362683.927","473620059915.228","499784319285.629","531168734058.989","564548018702.176","603892965530.374","633174611213.834","665697426270.634","706351653121.61","748211927951.894","769263195356.949","770356255503.577","787968675888.969","810337757614.177","836276010162.181","828430388804.133","861371411041.672","893813706710.345","",
"Angola","AGO","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","23063262104.6048","22048478290.9416","22048478290.9416","22974514694.132","24352986073.1989","25205340461.5817","25936295774.1627","26995209535.8797","28649716362.5461","28661640793.3085","27672785901.1984","27947122638.3648","26315491161.9046","20004137064.6172","20272065162.244","23312874942.4318","26470456925.1794","28395991378.9479","29728088920.7293","30376604124.0132","31304495235.1451","32621161852.7594","37079068301.7327","38187732443.9545","42369289148.8383","48737393303.9054","54366562229.4727","61983317602.5006","68906854175.114","69499453122.5034","72556300345.7599","75075493655.9735","81488522711.7833","85525963676.9345","89650503966.1696","90496420626.179","88161512322.2007","88031782810.7052","86872966147.6687","86262880798.9347","81399194358.2922","82375342061.4136","84884003207.6784","",
"Albania","ALB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","4650626378.8948","4917834409.43272","5062841517.51705","5118782790.58601","5054716276.96241","5144722777.00532","5434743310.80588","5391926084.81754","5315358596.20905","5838206447.55577","5279160805.75993","3800882718.68776","3527709061.94659","3864937294.2247","4185837881.82175","4743489156.74337","5175146643.27572","4610021453.80966","5017059783.31958","5663799108.52767","6057218861.96683","6559562958.94637","6857139117.39279","7236245479.6585","7635300387.08491","8057259479.00459","8532852033.68952","9043394715.19952","9721653065.53613","10047745438.9452","10420209148.0929","10685445792.0183","10836884503.1437","10945471986.7318","11139693788.8124","11386853113.0189","11764325094.2129","12211675169.6845","12702504600.374","12967696312.7715","12539492342.004","13656576505.5665","14319794712.6268","",
"Andorra","AND","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","859122124.413545","899066709.998028","972338340.647158","1048068593.41379","1106957363.89263","1112959349.36584","1149729156.17762","1182365087.10575","1199663090.44552","1200161636.77786","1226669938.22931","1225044913.22888","1240314621.6613","1262269657.96567","1284797216.54277","1314622923.54333","1357391837.39108","1432688020.94765","1505673822.20799","1578353213.30508","1638036865.77171","1679741342.09472","1695349734.48327","1677862466.61618","1717848987.06999","1765218700.60186","1847296757.09051","2014803568.84039","2079172380.13746","2164399296.91914","2240767147.05822","2422703047.4382","2532847903.3358","2753058859.8714","2977038818.11546","3137733299.91171","3288617126.51463","3339695537.72761","3154035638.64466","2986781968.80057","2927794279.37554","2927558013.5968","2781928287.88297","2683236696.87851","2750437434.80254","2789882569.1005","2893378230.93931","2903391399.65727","2949519480.26811","3008968450.49925","2672447226.31612","2893918267.005","3148860293.01515","",
"Arab World","ARB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","563859165245.056","652514928071.439","706095889448.604","702592871809.712","782214385402.338","854505275727.364","882906742052.309","808002053211.214","756769845640.947","767830951299.063","752867030789.859","785617050910.774","783215423270.626","829355864311.25","846945637128.292","952127073917.924","974480416379.708","1024358996990.67","1056193511513.63","1091818818595.85","1124347484199.83","1177447624844.71","1230598145732.65","1293551569082.42","1317312167777.47","1404148892308.59","1427470575825.31","1436425395509.21","1506654159857.07","1640826081454.58","1731059856698.43","1836896975562.22","1920086243261.59","2026998462716.49","2035479162141.99","2131740877028.13","2207443406811.45","2319890357470.73","2380847522584.55","2438084605926.31","2522548181288.01","2615604254998.03","2648205740189.38","2714549021032.09","2752654060294.24","2613224256654.26","2712547490029.07","2878410937005.33","",
"United Arab Emirates","ARE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","57430272383.951","66921691091.8597","81269253400.5245","79977394650.3986","96711523265.1678","119801181757.24","125382930472.928","116958054931.546","111407435350.327","115882617750.195","111717244267.453","95006426303.7945","98219526263.7716","95647247523.7818","107448100937.74","127141173333.781","128234691611.275","132524071339.424","134195452935.713","143449770718.212","153043528516.182","161917610689.254","175179308474.315","175690822155.126","180789745168.103","200410321457.908","203214232264.655","208159362839.323","226478512525.959","248144435923.541","260192198658.414","285788137266.103","294888746626.725","304301112615.705","288346842920.119","292968610431.171","311179896130.516","316857313553.72","332876224059.313","346742821770.78","370275469560.166","390868305567.669","393741456191.578","398914879841.349","403336245487.99","383342656303.629","400036290943.156","431440812433.654","",
"Argentina","ARG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","150797810295.884","158982878499.524","157628310158.567","149261089202.812","164381681831.918","181755894112.433","180556802912.311","186320169964.576","195305461613.156","214210104570.482","220734180309.322","233223609573.669","237021461356.448","243685921868.226","257171024124.452","257097956426.363","251909073021.038","269376820356.431","257238364643.474","283535234199.299","287841521828.634","272903153784.458","270895516738.16","282677015450.457","287117132733.287","272218554792.861","288969188904.054","296785426416.393","293550663101.649","272541389928.67","265817211205.311","290094591011.844","313120244489.89","338817957426.035","358592053441.545","348389357874.283","367643757074.802","397463514160.866","412766570325.764","398792535409.293","395646066535.875","378202665751.853","336999433710.193","366780211148.674","399898899166.738","435296589745.339","470325565798.353","512690850741.56","533491913656.279","501917060966.235","552738161802.463","585924294024.785","579910247223.428","593858966307.156","578937574935.696","594749285413.212","582376550428.09","598790850843.677","583118120294.002","571450737224.442","514874343768.066","570058627079.249","598312841626.662","",
"Armenia","ARM","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5839777093.95123","5156523262.60518","3001096397.25066","2736999950.50702","2884798023.90046","3083849041.96219","3264729146.7809","3373153403.74995","3619393601.80914","3738833590.68989","3959424772.65728","4339529550.80371","4912347451.42022","5600076094.6952","6188084084.57212","7048227772.27278","7978593838.17516","9071661194.12856","9697605816.5624","8330243396.35924","8513508751.09706","8913643662.28574","9555426006.05632","9870755064.25618","10226102246.6276","10553337518.414","10574444193.4325","11367527508.1135","11958638938.496","12867495497.6469","11941035821.9185","12633615899.5898","14225451502.9381","",
"American Samoa","ASM","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","744923664.122138","752116030.534351","755198473.282443","752116030.534351","721291603.053435","734648854.961832","715126717.557252","685329770.992367","687384732.824428","687384732.824428","657587786.259542","641148091.603054","652450381.679389","673000000","661697709.923664","615461068.70229","631900763.358779","628818320.610687","656560305.343511","651422900.763359","662725190.839695","",
